"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","DS","(U) ","LIMITED DISTRIBUTION"
"(U) ","XD","(U) ","EXCLUSIVE DISTRIBUTION"
"(U) ","ND","(U) ","NO DISTRIBUTION"
"(U) ","SBU","(U) ","SENSITIVE BUT UNCLASSIFIED"
"(U) ","SBU-NF","(U) ","SENSITIVE BUT UNCLASSIFIED NOFORN"
"(U) ","LES","(U) ","LAW ENFORCEMENT SENSITIVE"
"(U) ","LES-NF","(U) ","LAW ENFORCEMENT SENSITIVE NOFORN"
"(U) ","SSI","(U) ","SENSITIVE SECURITY INFORMATION"
"(U) ","NNPI","(U) ","NAVAL NUCLEAR PROPULSION INFORMATION"

