"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","AEA","(U) ","
				When using a source document that contains portions of Restricted Data (RD)
				or Formerly Restricted Data (FRD) where the RD/FRD source document(s) 
				do not have declassification instructions, the derivatively classified 
				document shall not contain a declassification date or event on the 
				Declassify On line.  The following shall be annotated on the Declassify On 
				line:  "Not Applicable or (N/A) to RD/FRD portions" and 
				"See source list for NSI portions" separated by a period.  
				The source list must include the declassification instruction 
				for each of the source documents classified under E.O. 13526 and 
				shall not appear in the classification authority block
			"
"(U) ","NATO","(U) ","
	  			Since NATO information is not to be declassified or downgraded without the prior consent
	  			of NATO, the “Declassify on” line of documents that commingle information classified by 
	  			NATO and U.S. classified NSI, will read “N/A to NATO portions. 
	  			See source list for NSI portions.” 
	  			The NSI source list will appear beneath the classification authority block 
	  			in a manner that clearly identifies it as separate and distinct.
	  		"
"(U) ","NATO-AEA","(U) ","
	  			Handles special case of BOTH NATO and AEA as a single exemption.
	  		"
"(U) ","25X1","(U) ","
				Reveal the identity of a confidential 
				human source, a human intelligence source, 
				a relationship with an intelligence or security
				service of a foreign government or 
				international organization, or a non-human 
				intelligence source; or impair the 
				effectiveness of an intelligence method 
				currently in use, available for use, or under 
				development.
			"
"(U) ","25X1-EO-12951","(U) ","
				"25X1, EO 12951" (prescribed by the DNI for use on information described in E.O. 12951, 
				Release of Imagery Acquired by Space-Based National Intelligence Reconnaissance Systems)
			"
"(U) ","25X2","(U) ","
				Reveal information that would assist 
				in the development, production, or use of 
				weapons of mass destruction.
			"
"(U) ","25X3","(U) ","
				Reveal information that would 
				impair U.S. cryptologic systems or activities.
			"
"(U) ","25X4","(U) ","
				Reveal information that would 
				impair the application of state-of-the-art 
				technology within a U.S. weapon system.
			"
"(U) ","25X5","(U) ","
				Reveal formally named or numbered 
				U.S. military war plans that remain in effect, 
				or reveal operational or tactical elements of 
				prior plans that are contained in such active 
				plans;"
"(U) ","25X6","(U) ","
				Reveal information, including foreign 
				government information, that would cause 
				serious harm to relations between the United 
				States and a foreign government, or to 
				ongoing diplomatic activities of the United 
				States
			"
"(U) ","25X7","(U) ","
				Reveal information that would 
				impair the current ability of United States 
				Government officials to protect the President, 
				Vice President, and other protectees for 
				whom protection services, in the interest of 
				the national security, are authorized.
			"
"(U) ","25X8","(U) ","
				Reveal information that would 
				seriously impair current national security 
				emergency preparedness plans or reveal 
				current vulnerabilities of systems, 
				installations, or infrastructures relating to the 
				national security.
			"
"(U) ","25X9","(U) ","
				Violate a statute, treaty, or 
				international agreement that does not permit 
				the automatic or unilateral declassification of 
				information at 25 years.
			"
"(U) ","50X1","(U) ","
		  			The ISCAP has authorized use of this code in the FBI’s 
		  			classification guidance (which results in a 75-year classification 
		  			period) for any agency sourcing/reusing the information.			
		  		"
"(U) ","50X1-HUM","(U) ","
				When the information clearly and 
				demonstrably could be expected to 
				reveal the identity of a confidential 
				human source or a human intelligence 
				source.				
			"
"(U) ","50X2","(U) ","
	  			Reveal information that would assist 
	  			in the development, production, or use of 
	  			weapons of mass destruction.
	  		"
"(U) ","50X2-WMD","(U) ","
				When the information clearly and 
				demonstrably could reveal key design 
				concepts of weapons of mass 
				destruction.
			"
"(U) ","50X3","(U) ","
	  			Reveal information that would 
	  			impair U.S. cryptologic systems or activities.
	  		"
"(U) ","50X4","(U) ","
	  			Reveal information that would 
	  			impair the application of state-of-the-art 
	  			technology within a U.S. weapon system.
	  		"
"(U) ","50X5","(U) ","
	  			Reveal formally named or numbered 
	  			U.S. military war plans that remain in effect, 
	  			or reveal operational or tactical elements of 
	  			prior plans that are contained in such active 
	  			plans;"
"(U) ","50X6","(U) ","
	  			Reveal information, including foreign 
	  			government information, that would cause 
	  			serious harm to relations between the United 
	  			States and a foreign government, or to 
	  			ongoing diplomatic activities of the United 
	  			States
	  		"
"(U) ","50X7","(U) ","
	  			Reveal information that would 
	  			impair the current ability of United States 
	  			Government officials to protect the President, 
	  			Vice President, and other protectees for 
	  			whom protection services, in the interest of 
	  			the national security, are authorized.
	  		"
"(U) ","50X8","(U) ","
	  			Reveal information that would 
	  			seriously impair current national security 
	  			emergency preparedness plans or reveal 
	  			current vulnerabilities of systems, 
	  			installations, or infrastructures relating to the 
	  			national security.
	  		"
"(U) ","50X9","(U) ","
	  			Violate a statute, treaty, or 
	  			international agreement that does not permit 
	  			the automatic or unilateral declassification of 
	  			information at 25 years.
	  		"

