"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","RS","(U) ","RISK SENSITIVE"
"(U) ","FOUO","(U) ","FOR OFFICIAL USE ONLY"
"(U) ","OC","(U) ","ORIGINATOR CONTROLLED"
"(U) ","OC-USGOV","(U) ","ORIGINATOR CONTROLLED US GOVERNMENT"
"(U) ","IMC","(U) ","CONTROLLED IMAGERY"
"(U) ","NF","(U) ","NOT RELEASABLE TO FOREIGN NATIONALS"
"(U) ","PR","(U) ","CAUTION-PROPRIETARY INFORMATION INVOLVED"
"(U) ","REL","(U) ","AUTHORIZED FOR RELEASE TO"
"(U) ","RELIDO","(U) ","RELEASABLE BY INFORMATION DISCLOSURE OFFICIAL"
"(U) ","EYES","(U) ","EYES ONLY"
"(U) ","DSEN","(U) ","DEA SENSITIVE"
"(U) ","FISA","(U) ","FOREIGN INTELLIGENCE SURVEILLANCE ACT"
"(U) ","DISPLAYONLY","(U) ","AUTHORIZED FOR DISPLAY BUT NOT RELEASE TO"

