"ValueClassification","Value","DescriptionClassification","Description"
"(U) ","FGI","(U) ","Foreign Government Information"
"(U) ","ABW","(U) ","Aruba"
"(U) ","AFG","(U) ","Islamic Republic of Afghanistan"
"(U) ","AGO","(U) ","Republic of Angola"
"(U) ","AIA","(U) ","Anguilla"
"(U) ","ALB","(U) ","Republic of Albania"
"(U) ","AND","(U) ","Principality of Andorra"
"(U) ","ARE","(U) ","United Arab Emirates"
"(U) ","ARG","(U) ","Argentine Republic"
"(U) ","ARM","(U) ","Republic of Armenia"
"(U) ","ASM","(U) ","Territory of American Samoa"
"(U) ","ATA","(U) ","Antarctica"
"(U) ","ATF","(U) ","French Southern and Antarctic Lands"
"(U) ","ATG","(U) ","Antigua and Barbuda"
"(U) ","AUS","(U) ","Commonwealth of Australia"
"(U) ","AUT","(U) ","Republic of Austria"
"(U) ","AX2","(U) ","Guantanamo Bay Naval Base"
"(U) ","AX3","(U) ","Entity 6"
"(U) ","AZE","(U) ","Republic of Azerbaijan"
"(U) ","BDI","(U) ","Republic of Burundi"
"(U) ","BEL","(U) ","Kingdom of Belgium"
"(U) ","BEN","(U) ","Republic of Benin"
"(U) ","BES","(U) ","Bonaire, Sint Eustatius, and Saba"
"(U) ","BFA","(U) ","Burkina Faso"
"(U) ","BGD","(U) ","People’s Republic of Bangladesh"
"(U) ","BGR","(U) ","Republic of Bulgaria"
"(U) ","BHR","(U) ","Kingdom of Bahrain"
"(U) ","BHS","(U) ","Commonwealth of The Bahamas"
"(U) ","BIH","(U) ","Bosnia and Herzegovina"
"(U) ","BLM","(U) ","Saint Barthelemy"
"(U) ","BLR","(U) ","Republic of Belarus"
"(U) ","BLZ","(U) ","Belize"
"(U) ","BMU","(U) ","Bermuda"
"(U) ","BOL","(U) ","Plurinational State of Bolivia"
"(U) ","BRA","(U) ","Federative Republic of Brazil"
"(U) ","BRB","(U) ","Barbados"
"(U) ","BRN","(U) ","Brunei Darussalam"
"(U) ","BTN","(U) ","Kingdom of Bhutan"
"(U) ","BVT","(U) ","Bouvet Island"
"(U) ","BWA","(U) ","Republic of Botswana"
"(U) ","CAF","(U) ","Central African Republic"
"(U) ","CAN","(U) ","Canada"
"(U) ","CCK","(U) ","Territory of Cocos (Keeling) Islands"
"(U) ","CHE","(U) ","Swiss Confederation"
"(U) ","CHL","(U) ","Republic of Chile"
"(U) ","CHN","(U) ","People’s Republic of China"
"(U) ","CIV","(U) ","Republic of Côte d’Ivoire"
"(U) ","CMR","(U) ","Republic of Cameroon"
"(U) ","COD","(U) ","Democratic Republic of the Congo"
"(U) ","COG","(U) ","Republic of the Congo"
"(U) ","COK","(U) ","Cook Islands"
"(U) ","COL","(U) ","Republic of Colombia"
"(U) ","COM","(U) ","Union of the Comoros"
"(U) ","CPT","(U) ","Clipperton Island"
"(U) ","CPV","(U) ","Republic of Cabo Verde"
"(U) ","CRI","(U) ","Republic of Costa Rica"
"(U) ","CUB","(U) ","Republic of Cuba"
"(U) ","CUW","(U) ","Curaçao"
"(U) ","CXR","(U) ","Territory of Christmas Island"
"(U) ","CYM","(U) ","Cayman Islands"
"(U) ","CYP","(U) ","Republic of Cyprus"
"(U) ","CZE","(U) ","Czech Republic"
"(U) ","DEU","(U) ","Federal Republic of Germany"
"(U) ","DGA","(U) ","Diego Garcia"
"(U) ","DJI","(U) ","Republic of Djibouti"
"(U) ","DMA","(U) ","Commonwealth of Dominica"
"(U) ","DNK","(U) ","Kingdom of Denmark"
"(U) ","DOM","(U) ","Dominican Republic"
"(U) ","DZA","(U) ","People’s Democratic Republic of Algeria"
"(U) ","ECU","(U) ","Republic of Ecuador"
"(U) ","EGY","(U) ","Arab Republic of Egypt"
"(U) ","ERI","(U) ","State of Eritrea"
"(U) ","ESH","(U) ","Western Sahara"
"(U) ","ESP","(U) ","Kingdom of Spain"
"(U) ","EST","(U) ","Republic of Estonia"
"(U) ","ETH","(U) ","Federal Democratic Republic of Ethiopia"
"(U) ","FIN","(U) ","Republic of Finland"
"(U) ","FJI","(U) ","Republic of Fiji"
"(U) ","FLK","(U) ","Falkland Islands (Islas Malvinas)"
"(U) ","FRA","(U) ","French Republic"
"(U) ","FRO","(U) ","Faroe Islands"
"(U) ","FSM","(U) ","Federated States of Micronesia"
"(U) ","GAB","(U) ","Gabonese Republic"
"(U) ","GBR","(U) ","United Kingdom of Great Britain and Northern Ireland"
"(U) ","GEO","(U) ","Georgia"
"(U) ","GGY","(U) ","Bailiwick of Guernsey"
"(U) ","GHA","(U) ","Republic of Ghana"
"(U) ","GIB","(U) ","Gibraltar"
"(U) ","GIN","(U) ","Republic of Guinea"
"(U) ","GLP","(U) ","Region of Guadeloupe"
"(U) ","GMB","(U) ","Republic of The Gambia"
"(U) ","GNB","(U) ","Republic of Guinea-Bissau"
"(U) ","GNQ","(U) ","Republic of Equatorial Guinea"
"(U) ","GRC","(U) ","Hellenic Republic"
"(U) ","GRD","(U) ","Grenada"
"(U) ","GRL","(U) ","Greenland"
"(U) ","GTM","(U) ","Republic of Guatemala"
"(U) ","GUF","(U) ","Territorial Collectivity of Guiana"
"(U) ","GUM","(U) ","Territory of Guam"
"(U) ","GUY","(U) ","Co-operative Republic of Guyana"
"(U) ","HKG","(U) ","Hong Kong Special Administrative Region"
"(U) ","HMD","(U) ","Territory of Heard Island and McDonald Islands"
"(U) ","HND","(U) ","Republic of Honduras"
"(U) ","HRV","(U) ","Republic of Croatia"
"(U) ","HTI","(U) ","Republic of Haiti"
"(U) ","HUN","(U) ","Hungary"
"(U) ","IDN","(U) ","Republic of Indonesia"
"(U) ","IMN","(U) ","Isle of Man"
"(U) ","IND","(U) ","Republic of India"
"(U) ","IOT","(U) ","British Indian Ocean Territory"
"(U) ","IRL","(U) ","Ireland"
"(U) ","IRN","(U) ","Islamic Republic of Iran"
"(U) ","IRQ","(U) ","Republic of Iraq"
"(U) ","ISL","(U) ","Republic of Iceland"
"(U) ","ISR","(U) ","State of Israel"
"(U) ","ITA","(U) ","Italian Republic"
"(U) ","JAM","(U) ","Jamaica"
"(U) ","JEY","(U) ","Bailiwick of Jersey"
"(U) ","JOR","(U) ","Hashemite Kingdom of Jordan"
"(U) ","JPN","(U) ","Japan"
"(U) ","KAZ","(U) ","Republic of Kazakhstan"
"(U) ","KEN","(U) ","Republic of Kenya"
"(U) ","KGZ","(U) ","Kyrgyz Republic"
"(U) ","KHM","(U) ","Kingdom of Cambodia"
"(U) ","KIR","(U) ","Republic of Kiribati"
"(U) ","KNA","(U) ","Federation of Saint Kitts and Nevis"
"(U) ","KOR","(U) ","Republic of Korea"
"(U) ","KWT","(U) ","State of Kuwait"
"(U) ","LAO","(U) ","Lao People’s Democratic Republic"
"(U) ","LBN","(U) ","Lebanese Republic"
"(U) ","LBR","(U) ","Republic of Liberia"
"(U) ","LBY","(U) ","Libya"
"(U) ","LCA","(U) ","Saint Lucia"
"(U) ","LIE","(U) ","Principality of Liechtenstein"
"(U) ","LKA","(U) ","Democratic Socialist Republic of Sri Lanka"
"(U) ","LSO","(U) ","Kingdom of Lesotho"
"(U) ","LTU","(U) ","Republic of Lithuania"
"(U) ","LUX","(U) ","Grand Duchy of Luxembourg"
